score_hint,journal,tier,domain,published,title,biz_hits,doi,url
2,Information Processing & Management,CCF-B 期刊,信息系统/电商,2026-7,RoleSimLLM: Towards large-scale and comprehensive social propagation simulation via role-based LLM-driven agents,llm|agent,10.1016/j.ipm.2026.104689,https://doi.org/10.1016/j.ipm.2026.104689
2,Information Processing & Management,CCF-B 期刊,信息系统/电商,2026-7,The autonomy equation: How agentic AI reshapes trust and workload in routine productivity applications,app|agent,10.1016/j.ipm.2026.104681,https://doi.org/10.1016/j.ipm.2026.104681
2,Information Systems Research,UTD24/FT50,信息系统/电商,2026-9-4,"Generative AI, Platform Stances, and Content Creator Behavior",platform|generative ai,10.1287/isre.2025.2155,https://doi.org/10.1287/isre.2025.2155
2,Information Systems Research,UTD24/FT50,信息系统/电商,2026-8-27,Fast Selection from Multiple Treatments: A Sequential Method for Principled Digital Experimentation,experiment|digital,10.1287/isre.2024.1537,https://doi.org/10.1287/isre.2024.1537
2,Information Systems Research,UTD24/FT50,信息系统/电商,2026-8-5,"Seeing Less, Engaging More: Rethinking Early User Experience on GenAI Co-Creation Platforms–Findings from a Field Experiment",experiment|platform,10.1287/isre.2024.1200,https://doi.org/10.1287/isre.2024.1200
2,Information Systems Research,UTD24/FT50,信息系统/电商,2026-7-28,Bounded Rationality in the Digital Age: How Salient Negative Secondhand Information on Knowledge-Sharing Platforms Triggers Investor Mis-Reactions,platform|digital,10.1287/isre.2024.1248,https://doi.org/10.1287/isre.2024.1248
2,Information Systems Research,UTD24/FT50,信息系统/电商,2026-7-23,Generative AI and Price Discrimination in the Housing Market,price|generative ai,10.1287/isre.2024.1234,https://doi.org/10.1287/isre.2024.1234
2,Information Systems Research,UTD24/FT50,信息系统/电商,2026-7-15,Interpretable Recommendations and Parameter-Grounded LLM Explanations with Multigraph Attention,recommend|llm,10.1287/isre.2023.0549,https://doi.org/10.1287/isre.2023.0549
2,Information Systems Research,UTD24/FT50,信息系统/电商,2026-7-14,Counter-orchestration in Platform Ecosystems: How Complementors Forced Apple to Change Platform Rules,platform|app,10.1287/isre.2023.0491,https://doi.org/10.1287/isre.2023.0491
2,Information Systems Research,UTD24/FT50,信息系统/电商,2026-6-24,Does Mobile Technology Integration Enhance Complaint Resolution Efficiency and Equity? An Empirical Study of How an Omnichannel Approach Affects Speed of Resolution of Government Service Requests,mobile|app,10.1287/isre.2022.0159,https://doi.org/10.1287/isre.2022.0159
2,Information Systems Research,UTD24/FT50,信息系统/电商,2026-6-23,The Evolution of Digital Platform Ecosystems: An Identity Domain Perspective,platform|digital,10.1287/isre.2024.1022,https://doi.org/10.1287/isre.2024.1022
2,Information Systems Research,UTD24/FT50,信息系统/电商,2026-6-23,"Buy Online, Pick Up, or Deliver from Store: Why Would an Online Retail Platform with Third-Party Sellers Offer It?",platform|online retail,10.1287/isre.2025.1869,https://doi.org/10.1287/isre.2025.1869
2,International Journal of Forecasting,ABS3/预测顶刊,运营/供应链,2026-9,Forecast efficiency in energy price expectations,price|forecast,10.1016/j.ijforecast.2026.04.008,https://doi.org/10.1016/j.ijforecast.2026.04.008
2,International Journal of Forecasting,ABS3/预测顶刊,运营/供应链,2026-8,Quantile forecast combination: An application to forecasting US GDP growth,forecast|app,10.1016/j.ijforecast.2026.06.003,https://doi.org/10.1016/j.ijforecast.2026.06.003
2,International Journal of Forecasting,ABS3/预测顶刊,运营/供应链,2026-8,Compositional zero-shot demand forecasting in retail via disentangled demand drivers,demand forecast|forecast,10.1016/j.ijforecast.2026.07.010,https://doi.org/10.1016/j.ijforecast.2026.07.010
2,International Journal of Forecasting,ABS3/预测顶刊,运营/供应链,2026-7,The HEFTCom2024 winning model: A stacked CatBoost approach for probabilistic wind and solar power forecasting,forecast|app,10.1016/j.ijforecast.2026.02.005,https://doi.org/10.1016/j.ijforecast.2026.02.005
2,International Journal of Forecasting,ABS3/预测顶刊,运营/供应链,2026-7,Global and regional long-term climate forecasts: A heterogeneous future,forecast|heterogeneous,10.1016/j.ijforecast.2026.06.005,https://doi.org/10.1016/j.ijforecast.2026.06.005
2,International Journal of Forecasting,ABS3/预测顶刊,运营/供应链,2026-7,Forecasting systemic risk measures using a dynamic semiparametric approach based on the Asymmetric Laplace distribution,forecast|app,10.1016/j.ijforecast.2026.01.002,https://doi.org/10.1016/j.ijforecast.2026.01.002
2,International Journal of Forecasting,ABS3/预测顶刊,运营/供应链,2026-7,Corrected Support Vector Regression for intraday point forecasting of prices in the continuous power market,price|forecast,10.1016/j.ijforecast.2025.11.007,https://doi.org/10.1016/j.ijforecast.2025.11.007
2,JASA,统计顶刊,统计/计量,2026-9-8,Representation Retrieval Learning for Heterogeneous Data Integration,retrieval|heterogeneous,10.1080/01621459.2026.2696485,https://doi.org/10.1080/01621459.2026.2696485
2,JASA,统计顶刊,统计/计量,2026-8-27,Anytime-Valid Inference in Linear Models with Applications to Regression-Adjusted Causal Inference,causal|app,10.1080/01621459.2026.2692052,https://doi.org/10.1080/01621459.2026.2692052
2,JASA,统计顶刊,统计/计量,2026-8-6,Double/Debiased Machine Learning for Treatment Effects in Dynamic Panels,treatment effect|machine learning,10.1080/01621459.2026.2696607,https://doi.org/10.1080/01621459.2026.2696607
2,JASA,统计顶刊,统计/计量,2026-8-3,BAP: Bayesian Biomarker-Assisted Platform Design for Dose Ranging in Multi-Agent Multi-Dose Trials,platform|agent,10.1080/01621459.2026.2708370,https://doi.org/10.1080/01621459.2026.2708370
2,JASA,统计顶刊,统计/计量,2026-7-27,Causal Inference with Generative Artificial Intelligence: Application to Texts as Treatments,causal|app,10.1080/01621459.2026.2689629,https://doi.org/10.1080/01621459.2026.2689629
2,JASA,统计顶刊,统计/计量,2026-7-15,"Modelling Spatial Density: Data, Methods, and R Applications in Statistics, Econometrics, and Machine Learning (by Katarzyna Kopczewska)",app|machine learning,10.1080/01621459.2026.2685045,https://doi.org/10.1080/01621459.2026.2685045
2,Journal of Business Research,ABS3,营销/定价/促销,2026-9,Customer engagement in circular economy initiatives: Exploring pathways toward climate change mitigation in the apparel industry,customer|app,10.1016/j.jbusres.2026.116286,https://doi.org/10.1016/j.jbusres.2026.116286
2,Journal of Business Research,ABS3,营销/定价/促销,2026-9,How Consumers Respond to AI- versus Human-Generated Review Summaries: The Moderating Role of Verbal versus Numerical Probability Expressions,review|consumer,10.1016/j.jbusres.2026.116245,https://doi.org/10.1016/j.jbusres.2026.116245
2,Journal of Business Research,ABS3,营销/定价/促销,2026-8,Strategic under-disclosure in online property platforms: listing agent credibility and buyer response to sparse listings,platform|agent,10.1016/j.jbusres.2026.116241,https://doi.org/10.1016/j.jbusres.2026.116241
2,Journal of Business Research,ABS3,营销/定价/促销,2026-7,Using sensor technology to evaluate the effects of a price promotion on store arrival traffic,price|promotion,10.1016/j.jbusres.2026.116212,https://doi.org/10.1016/j.jbusres.2026.116212
2,Journal of Business Research,ABS3,营销/定价/促销,2026-7,Digital-driven strategy and corporate greenwashing: evidence from the overlapping policies of the broadband China and big data comprehensive pilot zones,digital|app,10.1016/j.jbusres.2026.116223,https://doi.org/10.1016/j.jbusres.2026.116223
2,Journal of Econometrics,计量顶刊,统计/计量,2026-9,High-dimensional censored MIDAS logistic regression for corporate survival forecasting,logistic|forecast,10.1016/j.jeconom.2026.106315,https://doi.org/10.1016/j.jeconom.2026.106315
2,Journal of Econometrics,计量顶刊,统计/计量,2026-9,Heterogeneous predictability on mutual fund alphas: A sparse clustering GMM approach,heterogeneous|app,10.1016/j.jeconom.2026.106300,https://doi.org/10.1016/j.jeconom.2026.106300
2,Journal of Interactive Marketing,ABS3,营销/定价/促销,2026-7-22,EXPRESS: Fan Badges Signal Friendships: How Viewer-Influencer Parasocial Relationship Drives Conversion Funnel in Livestream Commerce,conversion|funnel,10.1177/10949968261474807,https://doi.org/10.1177/10949968261474807
2,Journal of Interactive Marketing,ABS3,营销/定价/促销,2026-6-29,EXPRESS: Bridging Research and Practice: Strategies for Managing Negative Online Reviews,search|review,10.1177/10949968261466970,https://doi.org/10.1177/10949968261466970
2,Journal of Interactive Marketing,ABS3,营销/定价/促销,2026-6-19,EXPRESS: Salesperson Attractiveness Beyond Looks in Livestreaming E-commerce: Mixed Method of Multimodal Machine Learning and Explainable AI,e-commerce|machine learning,10.1177/10949968261464927,https://doi.org/10.1177/10949968261464927
2,Journal of Marketing,UTD24/FT50,营销/定价/促销,2026-8-10,Research-Driven Apps: The Last Mile of Marketing Scholarship,search|app,10.1177/00222429261461214,https://doi.org/10.1177/00222429261461214
2,Journal of Marketing Research,UTD24/FT50,营销/定价/促销,2026-8-3,EXPRESS: Evaluating Novel Unstructured Treatments with Generative AI: A Causal Prediction Framework,causal|generative ai,10.1177/00222437261476639,https://doi.org/10.1177/00222437261476639
2,Journal of Marketing Research,UTD24/FT50,营销/定价/促销,2026-8-3,EXPRESS: Gaming the Marketplace: Consumer Opportunism and Beliefs about Societal Hierarchy,consumer|marketplace,10.1177/00222437261477110,https://doi.org/10.1177/00222437261477110
2,Journal of Marketing Research,UTD24/FT50,营销/定价/促销,2026-6-16,EXPRESS: Consumer Interactions and Peer Effects in Socially-Connected Digital Products,consumer|digital,10.1177/00222437261463518,https://doi.org/10.1177/00222437261463518
2,Journal of Operations Management,UTD24,运营/供应链,2026-6-18,Bridging Fragmentation in Digital Transformation Research: Building an Interface Between Operations Management and Information Systems,search|digital,10.1002/joom.70053,https://doi.org/10.1002/joom.70053
2,Journal of Retailing,ABS4,营销/定价/促销,2026-9,Beyond installation: How pre-adoption advertising drives post-adoption retail app usage,advertis|app,10.1016/j.jretai.2026.08.007,https://doi.org/10.1016/j.jretai.2026.08.007
2,Journal of Retailing,ABS4,营销/定价/促销,2026-9,Promotion elasticities of national and store brands: The effect of price level and brand type on promotion elasticity,price|promotion,10.1016/j.jretai.2026.01.001,https://doi.org/10.1016/j.jretai.2026.01.001
